,Close,Date,High,Low,Open,Trades,Volume
473,4.0181,2016-05-14,4.0661,3.9342,3.9342,522,26195.1296482
474,4.0707,2016-05-15,4.1258,3.96,4.029,413,22125.8885869
475,4.007,2016-05-16,4.2241,3.95,4.0617,1073,62188.7359912
476,3.9669,2016-05-17,4.0506,3.9612,4.0102,442,27700.5527865
477,4.0212,2016-05-18,4.0535,3.9623,3.9715,404,16423.3398567
478,3.7989,2016-05-19,4.0517,3.7352,4.0022,1608,80789.4105535
479,3.87,2016-05-20,3.9296,3.7,3.7922,1334,88776.1271722
480,3.9353,2016-05-21,3.9718,3.821,3.8569,603,19941.693981
481,3.8383,2016-05-22,3.9762,3.8383,3.9353,494,37505.6204779
482,3.958,2016-05-23,3.958,3.8313,3.8739,786,41654.8114374
483,3.95,2016-05-24,3.9942,3.935,3.95,484,9836.6039942
484,4.0456,2016-05-25,4.065,3.95,3.95,572,51248.9907097
485,4.1025,2016-05-26,4.1536,3.9851,4.0482,718,54883.6781542
486,4.4453,2016-05-27,4.6841,4.0827,4.1025,5553,237955.677645
487,4.487,2016-05-28,4.835,4.4433,4.4529,2549,156781.671321
488,4.7503,2016-05-29,4.8613,4.7046,4.76,186,8558.86655769
489,4.59,2016-05-31,4.6753,4.5,4.619,772,43493.268049
490,4.76,2016-06-01,4.8,4.5525,4.6001,716,36677.6037524
491,4.7162,2016-06-02,4.77,4.6721,4.7518,384,21940.7051238
492,4.8967,2016-06-03,4.9,4.6761,4.7152,1712,43526.8379092
493,4.82,2016-06-04,4.9723,4.7509,4.8967,1156,57660.4616272
494,4.8632,2016-06-05,4.8839,4.752,4.82,387,20922.8131251
495,4.979,2016-06-06,4.9801,4.7984,4.8489,939,40683.6190294
496,4.7738,2016-06-07,4.991,4.6886,4.9521,970,45915.6420702
497,4.821,2016-06-08,4.8282,4.7,4.801,337,23345.5683901
498,4.767,2016-06-09,4.805,4.6635,4.805,331,9987.85870514
499,4.8969,2016-06-10,4.9148,4.7124,4.7649,431,19659.913383
500,5.0993,2016-06-11,5.0993,4.89,4.8969,704,19247.8631825
501,5.25,2016-06-12,5.4,5.0,5.0703,4080,163641.823084
502,5.2789,2016-06-13,5.5287,4.553,5.25,4916,248695.665126
503,5.136,2016-06-14,5.3056,4.9335,5.2799,5383,294178.967014
504,5.2588,2016-06-15,5.26,4.9915,5.15,2857,174464.724496
505,5.695,2016-06-16,5.695,5.2588,5.2588,4592,159773.17663
506,5.6492,2016-06-17,5.99,5.0526,5.6952,7990,220028.513501
507,5.578,2016-06-18,5.7998,5.3545,5.5631,2316,95681.6617988
508,5.6031,2016-06-19,5.6365,5.4852,5.577,1006,20914.2118488
509,5.381,2016-06-20,5.602,5.2022,5.602,2265,53997.4777981
510,4.8546,2016-06-21,5.3492,4.5315,5.3492,2287,104634.931313
511,4.0007,2016-06-22,4.9773,3.7128,4.8561,6552,247473.258444
512,3.888,2016-06-23,4.025,3.51,4.0,4305,157396.713572
513,4.2775,2016-06-24,4.3999,3.8862,3.9145,3658,101055.921535
514,4.243,2016-06-25,4.486,3.91,4.2833,2120,69610.7203292
515,4.0731,2016-06-26,4.2696,3.9215,4.2319,878,26631.2166308
516,4.175,2016-06-27,4.1786,4.0291,4.0588,680,15357.1886976
517,4.1299,2016-06-28,4.1955,4.0131,4.1887,478,15687.5322967
518,4.0599,2016-06-29,4.1171,4.0,4.0873,295,11026.2667565
519,4.2091,2016-06-30,4.3026,4.0239,4.0599,639,27396.8790723
520,4.2663,2016-07-01,4.3877,4.1792,4.2091,872,28585.7918239
521,4.6532,2016-07-02,4.6695,4.2667,4.2667,1140,61379.3930106
522,4.2809,2016-07-03,4.6578,4.1503,4.6532,1591,69408.3338924
523,4.5046,2016-07-04,4.563,4.1789,4.2534,1115,44792.3463157
524,4.4219,2016-07-05,4.55,4.3433,4.5165,852,36505.3522383
525,4.4799,2016-07-06,4.4863,4.4021,4.434,359,5566.14036868
526,4.102,2016-07-07,4.518,3.915,4.4799,2092,74804.2087008
527,4.25,2016-07-08,4.25,4.0562,4.1369,759,21987.1803411
528,4.1036,2016-07-09,4.2294,3.97,4.2117,604,27242.9703648
529,4.138,2016-07-10,4.1586,4.0621,4.1188,215,4703.71663934
530,4.1274,2016-07-11,4.2131,4.0631,4.1166,266,8692.12153114
